Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	1.860	-0.00017	-0.1541	0.04647	
0.00500	1.692	-0.00019	-0.1582	0.04633	
0.01000	1.514	-0.00022	-0.1615	0.04617	
0.01500	1.328	-0.00022	-0.1641	0.04598	
0.02000	1.132	-0.00024	-0.1659	0.04569	
0.02500	0.9256	-0.00028	-0.1668	0.04542	
0.03000	0.7031	-0.00029	-0.1668	0.04513	
0.03500	0.4575	-0.00030	-0.1660	0.04483	
0.04000	0.1837	-0.00034	-0.1643	0.04452	
0.04500	-0.1178	-0.00036	-0.1618	0.04421	
0.05000	-0.4399	-0.00037	-0.1585	0.04384	
0.05500	-0.7730	-0.00040	-0.1545	0.04354	
0.06000	-1.108	-0.00043	-0.1495	0.04323	
0.06500	-1.439	-0.00043	-0.1438	0.04295	
0.07000	-1.762	-0.00044	-0.1374	0.04266	
0.07500	-2.074	-0.00046	-0.1301	0.04237	
0.08000	-2.368	-0.00044	-0.1222	0.04209	
0.08500	-2.636	-0.00041	-0.1137	0.04182	
0.09000	-2.871	-0.00040	-0.1047	0.04153	
0.09500	-3.072	-0.00037	-0.09510	0.04124	
0.1000	-3.241	-0.00033	-0.08510	0.04099	
0.1050	-3.379	-0.00030	-0.07471	0.04072	
0.1100	-3.489	-0.00027	-0.06392	0.04049	
0.1150	-3.571	-0.00021	-0.05286	0.04020	
0.1200	-3.631	-0.00016	-0.04163	0.03996	
0.1250	-3.671	-0.00014	-0.03021	0.03971	
0.1300	-3.694	-0.00010	-0.01863	0.03946	
0.1350	-3.698	0.000	-0.00704	0.03918	
0.1400	-3.681	0.000	0.00459	0.03887	
0.1450	-3.646	0.000	0.01622	0.03858	
0.1500	-3.594	0.000	0.02773	0.03829	
0.1550	-3.530	0.000	0.03907	0.03803	
0.1600	-3.456	0.000	0.05024	0.03771	
0.1650	-3.373	0.00015	0.06114	0.03743	
0.1700	-3.279	0.00017	0.07171	0.03715	
0.1750	-3.171	0.00017	0.08200	0.03692	
0.1800	-3.048	0.00020	0.09198	0.03664	
0.1850	-2.914	0.00023	0.1015	0.03637	
0.1900	-2.773	0.00022	0.1107	0.03611	
0.1950	-2.632	0.00022	0.1195	0.03587	
0.2000	-2.494	0.00023	0.1279	0.03564	
0.2050	-2.364	0.00021	0.1357	0.03539	
0.2100	-2.244	0.00017	0.1432	0.03514	
0.2150	-2.132	0.00016	0.1501	0.03488	
0.2200	-2.025	0.00013	0.1566	0.03463	
0.2250	-1.920	0.000	0.1626	0.03438	
0.2300	-1.813	0.000	0.1682	0.03410	
0.2350	-1.700	0.000	0.1733	0.03380	
0.2400	-1.583	0.000	0.1780	0.03352	
0.2450	-1.465	0.000	0.1823	0.03321	
0.2500	-1.345	0.000	0.1863	0.03294	
0.2550	-1.221	0.000	0.1899	0.03265	
0.2600	-1.094	0.000	0.1932	0.03236	
0.2650	-0.9690	0.000	0.1964	0.03206	
0.2700	-0.8498	0.000	0.1992	0.03181	
0.2750	-0.7398	0.000	0.2019	0.03156	
0.2800	-0.6434	0.000	0.2045	0.03132	
0.2850	-0.5652	0.000	0.2069	0.03111	
0.2900	-0.5111	0.000	0.2093	0.03092	
0.2950	-0.4854	0.000	0.2117	0.03077	
0.3000	-0.4865	0.000	0.2142	0.03060	
0.3050	-0.5141	-0.00011	0.2168	0.03046	
0.3100	-0.5662	-0.00015	0.2195	0.03032	
0.3150	-0.6387	-0.00016	0.2225	0.03021	
0.3200	-0.7273	-0.00019	0.2255	0.03009	
0.3250	-0.8283	-0.00023	0.2288	0.02999	
0.3300	-0.9388	-0.00023	0.2323	0.02986	
0.3350	-1.056	-0.00023	0.2359	0.02976	
0.3400	-1.174	-0.00026	0.2398	0.02966	
0.3450	-1.290	-0.00027	0.2439	0.02958	
0.3500	-1.399	-0.00026	0.2482	0.02949	
0.3550	-1.494	-0.00028	0.2526	0.02941	
0.3600	-1.571	-0.00029	0.2573	0.02939	
0.3650	-1.624	-0.00028	0.2621	0.02938	
0.3700	-1.652	-0.00027	0.2670	0.02941	
0.3750	-1.657	-0.00028	0.2720	0.02945	
0.3800	-1.642	-0.00026	0.2770	0.02950	
0.3850	-1.615	-0.00024	0.2820	0.02955	
0.3900	-1.577	-0.00023	0.2870	0.02965	
0.3950	-1.535	-0.00022	0.2919	0.02971	
0.4000	-1.491	-0.00018	0.2967	0.02982	
0.4050	-1.446	-0.00016	0.3013	0.02991	
0.4100	-1.399	-0.00016	0.3057	0.03007	
0.4150	-1.347	-0.00014	0.3098	0.03021	
0.4200	-1.289	-0.00013	0.3135	0.03040	
0.4250	-1.223	-0.00015	0.3168	0.03058	
0.4300	-1.144	-0.00014	0.3197	0.03081	
0.4350	-1.049	-0.00012	0.3221	0.03112	
0.4400	-0.9403	-0.00013	0.3240	0.03135	
0.4450	-0.8214	-0.00012	0.3253	0.03163	
0.4500	-0.6958	0.000	0.3259	0.03193	
0.4550	-0.5610	0.000	0.3257	0.03227	
0.4600	-0.4074	0.000	0.3248	0.03263	
0.4650	-0.2268	0.000	0.3232	0.03309	
0.4700	-0.01264	0.000	0.3208	0.03347	
0.4750	0.2382	0	0.3176	0.03393	
0.4800	0.5245	0.000	0.3136	0.03434	
0.4850	0.8426	0.000	0.3088	0.03478	
0.4900	1.188	0.00012	0.3031	0.03525	
0.4950	1.552	0.00016	0.2966	0.03576	
0.5000	1.926	0.00023	0.2892	0.03625	
0.5050	2.299	0.00026	0.2809	0.03677	
0.5100	2.661	0.00028	0.2718	0.03726	
0.5150	3.006	0.00032	0.2619	0.03769	
0.5200	3.325	0.00034	0.2511	0.03810	
0.5250	3.612	0.00032	0.2396	0.03849	
0.5300	3.864	0.00032	0.2274	0.03883	
0.5350	4.084	0.00032	0.2144	0.03914	
0.5400	4.274	0.00028	0.2008	0.03945	
0.5450	4.437	0.00025	0.1867	0.03972	
0.5500	4.579	0.00025	0.1719	0.03995	
0.5550	4.704	0.00022	0.1568	0.04022	
0.5600	4.815	0.00019	0.1413	0.04054	
0.5650	4.914	0.00019	0.1255	0.04084	
0.5700	4.996	0.00019	0.1094	0.04119	
0.5750	5.062	0.00016	0.09329	0.04154	
0.5800	5.107	0.00015	0.07717	0.04185	
0.5850	5.130	0.00014	0.06102	0.04218	
0.5900	5.127	0.00010	0.04496	0.04252	
0.5950	5.096	0.000	0.02910	0.04292	
0.6000	5.040	0.000	0.01339	0.04334	
0.6050	4.958	0.000	-0.00205	0.04377	
