Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	-3.131	-0.00249	0.05133	0.00324	
0.00500	-3.342	-0.00252	0.04057	0.00353	
0.01000	-3.514	-0.00251	0.02945	0.00380	
0.01500	-3.647	-0.00250	0.01801	0.00404	
0.02000	-3.743	-0.00252	0.00637	0.00428	
0.02500	-3.804	-0.00252	-0.00537	0.00451	
0.03000	-3.830	-0.00250	-0.01726	0.00474	
0.03500	-3.822	-0.00251	-0.02916	0.00495	
0.04000	-3.785	-0.00252	-0.04095	0.00514	
0.04500	-3.722	-0.00251	-0.05262	0.00532	
0.05000	-3.638	-0.00250	-0.06411	0.00550	
0.05500	-3.536	-0.00252	-0.07525	0.00567	
0.06000	-3.418	-0.00252	-0.08594	0.00584	
0.06500	-3.286	-0.00251	-0.09616	0.00602	
0.07000	-3.141	-0.00253	-0.1058	0.00618	
0.07500	-2.981	-0.00253	-0.1148	0.00634	
0.08000	-2.808	-0.00251	-0.1231	0.00649	
0.08500	-2.621	-0.00251	-0.1307	0.00664	
0.09000	-2.417	-0.00252	-0.1376	0.00680	
0.09500	-2.199	-0.00251	-0.1438	0.00694	
0.1000	-1.975	-0.00251	-0.1493	0.00707	
0.1050	-1.752	-0.00252	-0.1541	0.00720	
0.1100	-1.537	-0.00251	-0.1581	0.00733	
0.1150	-1.334	-0.00249	-0.1614	0.00744	
0.1200	-1.145	-0.00251	-0.1641	0.00754	
0.1250	-0.9688	-0.00251	-0.1659	0.00763	
0.1300	-0.8063	-0.00249	-0.1672	0.00771	
0.1350	-0.6539	-0.00250	-0.1679	0.00778	
0.1400	-0.5070	-0.00251	-0.1680	0.00783	
0.1450	-0.3631	-0.00249	-0.1676	0.00786	
0.1500	-0.2217	-0.00248	-0.1667	0.00789	
0.1550	-0.07698	-0.00250	-0.1653	0.00789	
0.1600	0.07392	-0.00249	-0.1635	0.00787	
0.1650	0.2321	-0.00248	-0.1612	0.00784	
0.1700	0.3964	-0.00250	-0.1586	0.00779	
0.1750	0.5634	-0.00251	-0.1556	0.00772	
0.1800	0.7271	-0.00248	-0.1524	0.00763	
0.1850	0.8832	-0.00249	-0.1489	0.00752	
0.1900	1.028	-0.00250	-0.1453	0.00741	
0.1950	1.157	-0.00249	-0.1414	0.00728	
0.2000	1.267	-0.00249	-0.1375	0.00714	
0.2050	1.354	-0.00251	-0.1335	0.00699	
0.2100	1.414	-0.00249	-0.1292	0.00683	
0.2150	1.448	-0.00248	-0.1251	0.00667	
0.2200	1.452	-0.00250	-0.1209	0.00650	
0.2250	1.429	-0.00250	-0.1167	0.00633	
0.2300	1.387	-0.00249	-0.1126	0.00616	
0.2350	1.331	-0.00250	-0.1086	0.00598	
0.2400	1.265	-0.00252	-0.1046	0.00580	
0.2450	1.192	-0.00249	-0.1007	0.00563	
0.2500	1.123	-0.00249	-0.09695	0.00545	
0.2550	1.065	-0.00251	-0.09329	0.00527	
0.2600	1.023	-0.00250	-0.08967	0.00509	
0.2650	0.9972	-0.00249	-0.08614	0.00490	
0.2700	0.9875	-0.00252	-0.08264	0.00470	
0.2750	0.9943	-0.00252	-0.07913	0.00449	
0.2800	1.017	-0.00249	-0.07569	0.00425	
0.2850	1.055	-0.00250	-0.07221	0.00400	
0.2900	1.106	-0.00251	-0.06859	0.00372	
0.2950	1.166	-0.00249	-0.06488	0.00342	
0.3000	1.229	-0.00249	-0.06112	0.00311	
0.3050	1.290	-0.00251	-0.05716	0.00278	
0.3100	1.347	-0.00250	-0.05295	0.00244	
0.3150	1.402	-0.00249	-0.04853	0.00209	
0.3200	1.461	-0.00251	-0.04383	0.00174	
0.3250	1.527	-0.00251	-0.03873	0.00139	
0.3300	1.608	-0.00250	-0.03330	0.00105	
0.3350	1.710	-0.00251	-0.02747	0.00070	
0.3400	1.835	-0.00252	-0.02112	0.00035	
0.3450	1.983	-0.00250	-0.01428	0.000	
0.3500	2.148	-0.00250	-0.00698	-0.00032	
0.3550	2.323	-0.00251	0.00089	-0.00064	
0.3600	2.506	-0.00251	0.00932	-0.00096	
0.3650	2.695	-0.00250	0.01822	-0.00127	
0.3700	2.885	-0.00252	0.02764	-0.00155	
0.3750	3.070	-0.00252	0.03761	-0.00183	
0.3800	3.246	-0.00250	0.04801	-0.00210	
0.3850	3.415	-0.00250	0.05882	-0.00237	
0.3900	3.575	-0.00251	0.07009	-0.00263	
0.3950	3.725	-0.00249	0.08174	-0.00289	
0.4000	3.858	-0.00249	0.09370	-0.00315	
0.4050	3.971	-0.00251	0.1060	-0.00340	
0.4100	4.060	-0.00250	0.1185	-0.00364	
0.4150	4.123	-0.00248	0.1310	-0.00387	
0.4200	4.157	-0.00249	0.1437	-0.00410	
0.4250	4.156	-0.00249	0.1564	-0.00433	
0.4300	4.119	-0.00248	0.1689	-0.00455	
0.4350	4.049	-0.00249	0.1813	-0.00476	
0.4400	3.950	-0.00250	0.1935	-0.00496	
0.4450	3.828	-0.00248	0.2054	-0.00515	
0.4500	3.687	-0.00247	0.2170	-0.00532	
0.4550	3.534	-0.00248	0.2281	-0.00547	
0.4600	3.370	-0.00247	0.2387	-0.00559	
0.4650	3.197	-0.00246	0.2487	-0.00571	
0.4700	3.012	-0.00248	0.2581	-0.00580	
0.4750	2.814	-0.00248	0.2669	-0.00588	
0.4800	2.603	-0.00246	0.2749	-0.00593	
0.4850	2.377	-0.00246	0.2820	-0.00597	
