Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	3.131	0.00095	0.000	0.04164	
0.00500	3.072	0.00094	-0.00981	0.04178	
0.01000	2.995	0.00090	-0.01937	0.04194	
0.01500	2.899	0.00089	-0.02856	0.04201	
0.02000	2.784	0.00089	-0.03736	0.04207	
0.02500	2.650	0.00083	-0.04565	0.04215	
0.03000	2.500	0.00080	-0.05333	0.04219	
0.03500	2.339	0.00080	-0.06044	0.04220	
0.04000	2.166	0.00076	-0.06690	0.04222	
0.04500	1.984	0.00072	-0.07261	0.04224	
0.05000	1.794	0.00073	-0.07767	0.04226	
0.05500	1.602	0.00072	-0.08209	0.04221	
0.06000	1.414	0.00069	-0.08573	0.04206	
0.06500	1.234	0.00070	-0.08862	0.04196	
0.07000	1.064	0.00071	-0.09086	0.04180	
0.07500	0.8998	0.00068	-0.09241	0.04171	
0.08000	0.7367	0.00068	-0.09322	0.04156	
0.08500	0.5666	0.00071	-0.09335	0.04133	
0.09000	0.3835	0.00069	-0.09277	0.04104	
0.09500	0.1815	0.00067	-0.09140	0.04084	
0.1000	-0.04315	0.00068	-0.08933	0.04059	
0.1050	-0.2917	0.00067	-0.08663	0.04039	
0.1100	-0.5616	0.00062	-0.08322	0.04003	
0.1150	-0.8462	0.00061	-0.07913	0.03968	
0.1200	-1.136	0.00060	-0.07447	0.03933	
0.1250	-1.420	0.00057	-0.06923	0.03902	
0.1300	-1.688	0.00058	-0.06342	0.03870	
0.1350	-1.928	0.00064	-0.05716	0.03836	
0.1400	-2.132	0.00067	-0.05041	0.03805	
0.1450	-2.298	0.00071	-0.04312	0.03785	
0.1500	-2.428	0.00077	-0.03543	0.03770	
0.1550	-2.527	0.00081	-0.02743	0.03752	
0.1600	-2.600	0.00083	-0.01908	0.03741	
0.1650	-2.654	0.00088	-0.01043	0.03723	
0.1700	-2.691	0.00093	-0.00164	0.03722	
0.1750	-2.714	0.00093	0.00736	0.03714	
0.1800	-2.727	0.00095	0.01655	0.03706	
0.1850	-2.735	0.00098	0.02576	0.03687	
0.1900	-2.739	0.00097	0.03492	0.03675	
0.1950	-2.741	0.00097	0.04401	0.03663	
0.2000	-2.740	0.00101	0.05285	0.03656	
0.2050	-2.731	0.00103	0.06143	0.03646	
0.2100	-2.709	0.00102	0.06983	0.03632	
0.2150	-2.671	0.00104	0.07799	0.03612	
0.2200	-2.615	0.00106	0.08578	0.03599	
0.2250	-2.537	0.00104	0.09325	0.03591	
0.2300	-2.438	0.00104	0.1004	0.03578	
0.2350	-2.316	0.00108	0.1069	0.03575	
0.2400	-2.175	0.00107	0.1129	0.03565	
0.2450	-2.019	0.00105	0.1183	0.03571	
0.2500	-1.852	0.00108	0.1231	0.03567	
0.2550	-1.675	0.00108	0.1273	0.03574	
0.2600	-1.494	0.00106	0.1309	0.03582	
0.2650	-1.314	0.00107	0.1338	0.03599	
0.2700	-1.138	0.00109	0.1361	0.03623	
0.2750	-0.9697	0.00106	0.1377	0.03649	
0.2800	-0.8091	0.00105	0.1387	0.03665	
0.2850	-0.6533	0.00107	0.1390	0.03670	
0.2900	-0.4951	0.00105	0.1387	0.03675	
0.2950	-0.3257	0.00103	0.1378	0.03695	
0.3000	-0.1365	0.00105	0.1363	0.03730	
0.3050	0.07907	0.00106	0.1342	0.03765	
0.3100	0.3234	0.00104	0.1317	0.03809	
0.3150	0.5943	0.00108	0.1286	0.03848	
0.3200	0.8851	0.00111	0.1248	0.03904	
0.3250	1.186	0.00111	0.1203	0.03960	
0.3300	1.486	0.00112	0.1153	0.04020	
0.3350	1.774	0.00117	0.1094	0.04075	
0.3400	2.043	0.00116	0.1030	0.04125	
0.3450	2.287	0.00115	0.09589	0.04173	
0.3500	2.506	0.00117	0.08816	0.04215	
0.3550	2.700	0.00115	0.07971	0.04251	
0.3600	2.870	0.00111	0.07072	0.04277	
0.3650	3.017	0.00111	0.06122	0.04306	
0.3700	3.147	0.00111	0.05112	0.04326	
0.3750	3.266	0.00107	0.04055	0.04344	
0.3800	3.382	0.00106	0.02957	0.04357	
0.3850	3.501	0.00107	0.01812	0.04381	
0.3900	3.623	0.00105	0.00631	0.04401	
0.3950	3.745	0.00104	-0.00568	0.04430	
0.4000	3.862	0.00107	-0.01794	0.04450	
0.4050	3.967	0.00108	-0.03048	0.04475	
0.4100	4.053	0.00106	-0.04317	0.04496	
0.4150	4.114	0.00107	-0.05595	0.04528	
0.4200	4.146	0.00108	-0.06884	0.04568	
0.4250	4.148	0.00104	-0.08175	0.04607	
0.4300	4.121	0.00101	-0.09459	0.04642	
0.4350	4.067	0.00099	-0.1073	0.04675	
0.4400	3.986	0.00095	-0.1198	0.04713	
