Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	0.000	0.000	-0.00037	0.04420	
0.00500	0.000	0.000	-0.00037	0.04419	
0.01000	0.000	0.000	-0.00037	0.04417	
0.01500	0.000	0.000	-0.00037	0.04416	
0.02000	0.000	0.000	-0.00036	0.04416	
0.02500	0.000	0.000	-0.00036	0.04415	
0.03000	0.000	0.000	-0.00036	0.04415	
0.03500	0.000	0.000	-0.00036	0.04415	
0.04000	0.000	0.000	-0.00036	0.04416	
0.04500	0.000	0.000	-0.00036	0.04416	
0.05000	0.000	0.000	-0.00036	0.04418	
0.05500	0.000	0.000	-0.00036	0.04420	
0.06000	0.000	0.000	-0.00036	0.04421	
0.06500	0.000	0.000	-0.00036	0.04422	
0.07000	0.000	0.000	-0.00036	0.04422	
0.07500	0.000	0.000	-0.00036	0.04423	
0.08000	0.000	0.000	-0.00036	0.04423	
0.08500	0.000	0.000	-0.00036	0.04425	
0.09000	0.000	0.000	-0.00036	0.04426	
0.09500	0.000	0.000	-0.00036	0.04427	
0.1000	0.000	0.000	-0.00036	0.04431	
0.1050	0.000	0.000	-0.00036	0.04435	
0.1100	0.000	0.000	-0.00036	0.04438	
0.1150	0.000	0.000	-0.00036	0.04442	
0.1200	0.000	0.000	-0.00036	0.04447	
0.1250	0.000	0.000	-0.00036	0.04451	
0.1300	0.000	0.000	-0.00035	0.04454	
0.1350	0.000	0.000	-0.00035	0.04457	
0.1400	0.000	0.000	-0.00035	0.04460	
0.1450	0.000	0.000	-0.00035	0.04462	
0.1500	0.000	0	-0.00036	0.04464	
0.1550	0.000	0.000	-0.00036	0.04467	
0.1600	0.000	0.000	-0.00036	0.04470	
0.1650	0.000	0.000	-0.00036	0.04473	
0.1700	0.000	0	-0.00036	0.04476	
0.1750	0.000	0.000	-0.00036	0.04480	
0.1800	0.000	0.000	-0.00036	0.04485	
0.1850	0	0.000	-0.00036	0.04490	
0.1900	0	0.000	-0.00036	0.04493	
0.1950	0.000	0.000	-0.00036	0.04496	
0.2000	0.000	0.000	-0.00036	0.04500	
0.2050	0.000	0.000	-0.00036	0.04504	
0.2100	0.000	0.000	-0.00036	0.04506	
0.2150	0.000	0.000	-0.00036	0.04509	
0.2200	0.000	0.000	-0.00036	0.04514	
0.2250	0.000	0.000	-0.00036	0.04518	
0.2300	0.000	0.000	-0.00036	0.04522	
0.2350	0.000	0.000	-0.00036	0.04526	
0.2400	0.000	0.000	-0.00036	0.04532	
0.2450	0.000	0.000	-0.00036	0.04538	
0.2500	0.000	0.000	-0.00037	0.04545	
0.2550	0.000	0.000	-0.00037	0.04553	
0.2600	0.000	0.000	-0.00037	0.04560	
0.2650	0.000	0.000	-0.00037	0.04567	
0.2700	0.000	0.000	-0.00037	0.04574	
0.2750	0.000	0.000	-0.00037	0.04581	
0.2800	0.000	0.000	-0.00037	0.04590	
0.2850	0.000	0.000	-0.00037	0.04598	
0.2900	0.000	0.000	-0.00037	0.04606	
0.2950	0.000	0.000	-0.00037	0.04614	
0.3000	0.000	0.000	-0.00037	0.04624	
0.3050	0.000	0.000	-0.00037	0.04635	
0.3100	0.000	0.000	-0.00038	0.04644	
0.3150	0.000	0.000	-0.00038	0.04656	
0.3200	0.000	0.000	-0.00038	0.04667	
0.3250	0.000	0.000	-0.00039	0.04677	
0.3300	0.00028	0.000	-0.00039	0.04686	
0.3350	0.00119	0.000	-0.00039	0.04696	
0.3400	0.00316	0.000	-0.00039	0.04707	
0.3450	0.00621	0.000	-0.00040	0.04713	
0.3500	0.01002	0.000	-0.00040	0.04713	
0.3550	0.01444	0.000	-0.00040	0.04712	
0.3600	0.01980	0.000	-0.00041	0.04713	
0.3650	0.02629	0.000	-0.00041	0.04719	
0.3700	0.03360	0.000	-0.00041	0.04724	
0.3750	0.04177	0.000	-0.00042	0.04731	
0.3800	0.05263	0.000	-0.00042	0.04740	
0.3850	0.06962	0.000	-0.00042	0.04751	
0.3900	0.09728	0.000	-0.00042	0.04762	
0.3950	0.1398	0.000	-0.00042	0.04769	
0.4000	0.1944	0.000	-0.00043	0.04781	
0.4050	0.2573	0.000	-0.00043	0.04794	
0.4100	0.3255	0.000	-0.00043	0.04805	
0.4150	0.3916	0.000	-0.00043	0.04817	
0.4200	0.4514	0.000	-0.00043	0.04830	
0.4250	0.5007	0.000	-0.00044	0.04842	
0.4300	0.5329	0.000	-0.00044	0.04853	
0.4350	0.5442	0.000	-0.00045	0.04863	
0.4400	0.5368	0.000	-0.00045	0.04873	
0.4450	0.5153	0.000	-0.00045	0.04880	
0.4500	0.4845	0.000	-0.00045	0.04882	
0.4550	0.4488	0.000	-0.00046	0.04881	
0.4600	0.4125	0.000	-0.00046	0.04882	
0.4650	0.3800	0.000	-0.00046	0.04885	
0.4700	0.3551	0.000	-0.00047	0.04888	
0.4750	0.3416	0.000	-0.00047	0.04889	
0.4800	0.3397	0.000	-0.00047	0.04892	
0.4850	0.3448	0.000	-0.00048	0.04896	
0.4900	0.3521	0.000	-0.00048	0.04898	
0.4950	0.3603	0.000	-0.00048	0.04901	
0.5000	0.3708	0.000	-0.00049	0.04906	
0.5050	0.3839	0.000	-0.00049	0.04912	
0.5100	0.3947	0	-0.00049	0.04915	
0.5150	0.3978	0.000	-0.00049	0.04918	
0.5200	0.3913	0.000	-0.00050	0.04925	
0.5250	0.3772	0.000	-0.00050	0.04930	
0.5300	0.3585	0.000	-0.00050	0.04935	
0.5350	0.3387	0	-0.00050	0.04940	
0.5400	0.3198	0.000	-0.00051	0.04945	
0.5450	0.3028	0.000	-0.00051	0.04950	
0.5500	0.2885	0.000	-0.00051	0.04953	
0.5550	0.2769	0.000	-0.00051	0.04955	
0.5600	0.2664	0.000	-0.00052	0.04957	
0.5650	0.2547	0.000	-0.00052	0.04957	
0.5700	0.2402	0.000	-0.00052	0.04958	
0.5750	0.2229	0.000	-0.00053	0.04958	
0.5800	0.2038	0.000	-0.00053	0.04957	
0.5850	0.1838	0.000	-0.00053	0.04958	
0.5900	0.1638	0.000	-0.00053	0.04957	
0.5950	0.1443	0.000	-0.00053	0.04956	
0.6000	0.1259	0.000	-0.00053	0.04957	
0.6050	0.1088	0.000	-0.00053	0.04956	
0.6100	0.09308	0.000	-0.00053	0.04955	
0.6150	0.07889	0.000	-0.00054	0.04953	
0.6200	0.06622	0.000	-0.00054	0.04952	
0.6250	0.05504	0.000	-0.00054	0.04948	
0.6300	0.04528	0.000	-0.00054	0.04944	
0.6350	0.03683	0.000	-0.00054	0.04941	
0.6400	0.02959	0.000	-0.00054	0.04938	
0.6450	0.02346	0.000	-0.00053	0.04933	
0.6500	0.01830	0.000	-0.00053	0.04928	
0.6550	0.01401	0.000	-0.00053	0.04923	
0.6600	0.01048	0.000	-0.00053	0.04919	
0.6650	0.00760	0.000	-0.00053	0.04914	
0.6700	0.00529	0.000	-0.00053	0.04909	
0.6750	0.00346	0.000	-0.00053	0.04905	
0.6800	0.00202	0.000	-0.00053	0.04902	
0.6850	0.00092	0.000	-0.00053	0.04900	
0.6900	0.00010	0.000	-0.00053	0.04898	
0.6950	-0.00050	0.000	-0.00053	0.04893	
0.7000	-0.00092	0.000	-0.00053	0.04887	
0.7050	-0.00120	0.000	-0.00053	0.04881	
0.7100	-0.00137	0.000	-0.00053	0.04875	
0.7150	-0.00146	0.000	-0.00053	0.04868	
0.7200	-0.00148	0.000	-0.00053	0.04864	
0.7250	-0.00146	0.000	-0.00053	0.04858	
0.7300	-0.00140	0.000	-0.00053	0.04853	
0.7350	-0.00132	0.000	-0.00053	0.04848	
0.7400	-0.00122	0.000	-0.00053	0.04844	
0.7450	-0.00111	0.000	-0.00052	0.04839	
0.7500	-0.00101	0.000	-0.00052	0.04832	
0.7550	-0.00090	0.000	-0.00052	0.04826	
0.7600	-0.00080	0.000	-0.00052	0.04820	
0.7650	-0.00070	0.000	-0.00052	0.04815	
0.7700	-0.00061	0.000	-0.00052	0.04810	
0.7750	-0.00053	0.000	-0.00052	0.04805	
0.7800	-0.00046	0.000	-0.00053	0.04801	
0.7850	-0.00039	0.000	-0.00053	0.04798	
0.7900	-0.00033	0.000	-0.00053	0.04795	
0.7950	-0.00028	0.000	-0.00053	0.04791	
0.8000	-0.00023	0.000	-0.00053	0.04789	
0.8050	-0.00019	0.000	-0.00053	0.04787	
0.8100	-0.00016	0.000	-0.00052	0.04785	
0.8150	-0.00013	0.000	-0.00052	0.04782	
0.8200	-0.00010	0.000	-0.00052	0.04780	
0.8250	0.000	0.000	-0.00052	0.04777	
0.8300	0.000	0.000	-0.00052	0.04774	
0.8350	0.000	0.000	-0.00052	0.04772	
0.8400	0.000	0.000	-0.00052	0.04770	
0.8450	0.000	0.000	-0.00052	0.04768	
0.8500	0.000	0.000	-0.00052	0.04766	
0.8550	0.000	0.000	-0.00052	0.04766	
0.8600	0.000	0.000	-0.00052	0.04764	
0.8650	0.000	0.000	-0.00052	0.04763	
0.8700	0.000	0.000	-0.00052	0.04762	
0.8750	0	0.000	-0.00052	0.04760	
0.8800	0	0.000	-0.00052	0.04758	
0.8850	0.000	0.000	-0.00052	0.04756	
0.8900	0.000	0.000	-0.00052	0.04754	
0.8950	0.000	0.000	-0.00053	0.04752	
0.9000	0.000	0.000	-0.00053	0.04750	
0.9050	0.000	0.000	-0.00053	0.04748	
0.9100	0.000	0.000	-0.00053	0.04745	
0.9150	0.000	0.000	-0.00053	0.04742	
0.9200	0.000	0.000	-0.00052	0.04740	
0.9250	0	0.000	-0.00052	0.04737	
0.9300	0	0.000	-0.00052	0.04735	
0.9350	0	0.000	-0.00052	0.04734	
0.9400	0.000	0.000	-0.00052	0.04732	
0.9450	0.000	0.000	-0.00052	0.04730	
0.9500	0.000	0.000	-0.00052	0.04728	
0.9550	0.000	0.000	-0.00052	0.04726	
0.9600	0.000	0.000	-0.00052	0.04723	
0.9650	0	0.000	-0.00052	0.04720	
0.9700	0.000	0.000	-0.00053	0.04717	
0.9750	0	0.000	-0.00053	0.04713	
0.9800	0	0.000	-0.00053	0.04709	
0.9850	0	0.000	-0.00053	0.04707	
0.9900	0	0.000	-0.00053	0.04704	
0.9950	0.000	0.000	-0.00053	0.04700	
1.000	0.000	0.000	-0.00053	0.04697	
1.005	0.000	0.000	-0.00053	0.04694	
1.010	0	0.000	-0.00053	0.04690	
1.015	0.000	0.000	-0.00053	0.04686	
1.020	0.000	0.000	-0.00053	0.04681	
1.025	0.000	0.000	-0.00053	0.04676	
1.030	0.000	0.000	-0.00053	0.04672	
1.035	0.000	0.000	-0.00053	0.04667	
1.040	0.000	0.000	-0.00052	0.04660	
1.045	-0.00022	0.000	-0.00052	0.04655	
1.050	-0.00047	0.000	-0.00052	0.04651	
1.055	-0.00087	0.000	-0.00051	0.04647	
1.060	-0.00151	0.000	-0.00051	0.04643	
1.065	-0.00248	0.000	-0.00051	0.04640	
1.070	-0.00385	0.000	-0.00051	0.04637	
1.075	-0.00564	0.000	-0.00051	0.04634	
1.080	-0.00783	0.000	-0.00050	0.04630	
1.085	-0.01029	0.000	-0.00050	0.04628	
1.090	-0.01277	0.000	-0.00050	0.04627	
1.095	-0.01499	0.000	-0.00049	0.04626	
1.100	-0.01680	0.000	-0.00049	0.04624	
1.105	-0.01815	0.000	-0.00049	0.04621	
1.110	-0.01909	0.000	-0.00049	0.04619	
1.115	-0.01967	0.000	-0.00048	0.04617	
1.120	-0.01995	0.000	-0.00048	0.04615	
1.125	-0.01998	0.000	-0.00048	0.04614	
1.130	-0.01978	0.000	-0.00047	0.04612	
1.135	-0.01937	0.000	-0.00047	0.04612	
1.140	-0.01872	0.000	-0.00047	0.04612	
1.145	-0.01783	0.000	-0.00047	0.04612	
1.150	-0.01673	0.000	-0.00047	0.04612	
1.155	-0.01548	0.000	-0.00047	0.04612	
1.160	-0.01413	0.000	-0.00046	0.04613	
1.165	-0.01273	0.000	-0.00046	0.04613	
1.170	-0.01134	0.000	-0.00046	0.04615	
1.175	-0.01000	0.000	-0.00047	0.04616	
1.180	-0.00872	0.000	-0.00047	0.04619	
1.185	-0.00754	0.000	-0.00047	0.04623	
1.190	-0.00645	0.000	-0.00047	0.04627	
1.195	-0.00547	0.000	-0.00047	0.04629	
1.200	-0.00459	0.000	-0.00047	0.04631	
1.205	-0.00382	0.000	-0.00048	0.04634	
1.210	-0.00314	0.000	-0.00048	0.04635	
1.215	-0.00255	0.000	-0.00048	0.04637	
1.220	-0.00205	0.000	-0.00048	0.04639	
1.225	-0.00162	0.000	-0.00048	0.04641	
1.230	-0.00127	0.000	-0.00048	0.04643	
1.235	-0.00097	0.000	-0.00048	0.04645	
1.240	-0.00073	0.000	-0.00048	0.04646	
1.245	-0.00053	0.000	-0.00049	0.04646	
1.250	-0.00037	0.000	-0.00049	0.04646	
1.255	-0.00024	0.000	-0.00049	0.04646	
1.260	-0.00014	0.000	-0.00049	0.04645	
1.265	0.000	0.000	-0.00049	0.04644	
1.270	0.000	0.000	-0.00049	0.04644	
1.275	0.000	0.000	-0.00048	0.04641	
1.280	0.000	0.000	-0.00048	0.04638	
1.285	0.000	0.000	-0.00048	0.04637	
1.290	0.000	0.000	-0.00048	0.04636	
1.295	0.000	0.000	-0.00048	0.04633	
1.300	0.000	0.000	-0.00049	0.04629	
1.305	0.000	0.000	-0.00049	0.04626	
1.310	0.000	0.000	-0.00049	0.04623	
1.315	0.000	0.000	-0.00049	0.04620	
1.320	0.000	0.000	-0.00049	0.04617	
1.325	0.000	0.000	-0.00049	0.04613	
1.330	0.000	0.000	-0.00049	0.04610	
1.335	-0.00011	0.000	-0.00049	0.04608	
1.340	-0.00017	0.000	-0.00050	0.04606	
1.345	-0.00023	0.000	-0.00050	0.04603	
1.350	-0.00030	0.000	-0.00050	0.04602	
1.355	-0.00037	0.000	-0.00050	0.04601	
1.360	-0.00044	0.000	-0.00050	0.04599	
1.365	-0.00051	0.000	-0.00051	0.04599	
1.370	-0.00057	0.000	-0.00051	0.04600	
1.375	-0.00063	0.000	-0.00051	0.04599	
1.380	-0.00067	0.000	-0.00050	0.04599	
1.385	-0.00070	0.000	-0.00050	0.04600	
1.390	-0.00071	0.000	-0.00050	0.04602	
1.395	-0.00071	0.000	-0.00049	0.04603	
1.400	-0.00070	0.000	-0.00049	0.04604	
1.405	-0.00067	0.000	-0.00049	0.04605	
1.410	-0.00064	0.000	-0.00048	0.04606	
1.415	-0.00059	0.000	-0.00048	0.04609	
1.420	-0.00055	0.000	-0.00047	0.04611	
1.425	-0.00050	0.000	-0.00047	0.04614	
1.430	-0.00045	0.000	-0.00047	0.04619	
1.435	-0.00041	0.000	-0.00047	0.04622	
1.440	-0.00036	0.000	-0.00047	0.04626	
1.445	-0.00032	0.000	-0.00047	0.04630	
1.450	-0.00028	0.000	-0.00047	0.04634	
1.455	-0.00024	0.000	-0.00047	0.04637	
1.460	-0.00021	0.000	-0.00047	0.04640	
1.465	-0.00018	0.000	-0.00047	0.04644	
1.470	-0.00015	0.000	-0.00047	0.04648	
1.475	-0.00012	0.000	-0.00047	0.04652	
1.480	-0.00010	0.000	-0.00048	0.04655	
1.485	0.000	0.000	-0.00048	0.04660	
1.490	0.000	0.000	-0.00048	0.04664	
1.495	0.000	0.000	-0.00048	0.04669	
1.500	0.000	0.000	-0.00048	0.04672	
1.505	0.000	0.000	-0.00048	0.04676	
1.510	0.000	0.000	-0.00048	0.04679	
1.515	0.000	0.000	-0.00048	0.04682	
1.520	0.000	0.000	-0.00048	0.04684	
1.525	0.000	0.000	-0.00048	0.04687	
1.530	0.000	0.000	-0.00048	0.04691	
1.535	0.000	0.000	-0.00048	0.04696	
1.540	0.000	0.000	-0.00047	0.04700	
1.545	0	0.000	-0.00047	0.04703	
1.550	0.000	0.000	-0.00047	0.04707	
1.555	0.000	0.000	-0.00047	0.04710	
1.560	0.000	0.000	-0.00047	0.04713	
1.565	0.000	0.000	-0.00047	0.04717	
1.570	0.000	0.000	-0.00047	0.04721	
1.575	0.000	0.000	-0.00047	0.04725	
1.580	0.000	0.000	-0.00047	0.04728	
1.585	0.000	0.000	-0.00047	0.04732	
1.590	0.000	0.000	-0.00047	0.04736	
1.595	0.000	0.000	-0.00047	0.04739	
1.600	0.000	0.000	-0.00047	0.04742	
1.605	0.000	0.000	-0.00047	0.04745	
1.610	0.000	0.000	-0.00047	0.04750	
1.615	0.000	0.000	-0.00047	0.04755	
1.620	0.000	0.000	-0.00047	0.04760	
1.625	0.000	0.000	-0.00048	0.04765	
1.630	0.000	0.000	-0.00048	0.04770	
1.635	0.000	0.000	-0.00048	0.04776	
1.640	0.000	0.000	-0.00048	0.04782	
1.645	0.000	0.000	-0.00047	0.04787	
1.650	0.000	0.000	-0.00047	0.04793	
1.655	0.000	0.000	-0.00047	0.04799	
1.660	0.000	0.000	-0.00047	0.04804	
1.665	0.000	0.000	-0.00047	0.04811	
1.670	0.000	0.000	-0.00047	0.04819	
1.675	0.000	0.000	-0.00048	0.04827	
1.680	0.000	0.000	-0.00048	0.04835	
1.685	0.000	0.000	-0.00048	0.04843	
1.690	0.000	0.000	-0.00049	0.04851	
1.695	0.000	0.000	-0.00049	0.04858	
1.700	0.000	0.000	-0.00049	0.04866	
1.705	0.000	0.000	-0.00050	0.04875	
1.710	0.000	0.000	-0.00051	0.04882	
1.715	0.000	0.000	-0.00051	0.04891	
1.720	0.000	0.000	-0.00052	0.04900	
1.725	0.00011	0.000	-0.00052	0.04907	
1.730	0.00024	0.000	-0.00053	0.04913	
1.735	0.00046	0.000	-0.00053	0.04914	
1.740	0.00084	0.000	-0.00054	0.04913	
1.745	0.00176	0.000	-0.00054	0.04909	
1.750	0.00391	0.000	-0.00055	0.04909	
1.755	0.00829	0.000	-0.00055	0.04914	
1.760	0.01616	0.000	-0.00055	0.04918	
1.765	0.02868	0.000	-0.00056	0.04921	
1.770	0.04555	0.000	-0.00056	0.04927	
1.775	0.06541	0.000	-0.00056	0.04935	
1.780	0.08696	0.000	-0.00056	0.04940	
1.785	0.1102	0.000	-0.00056	0.04946	
1.790	0.1383	0.000	-0.00056	0.04953	
1.795	0.1735	0.000	-0.00056	0.04960	
1.800	0.2119	0.000	-0.00056	0.04966	
1.805	0.2483	0.000	-0.00056	0.04972	
1.810	0.2806	0.000	-0.00056	0.04979	
1.815	0.3090	0.000	-0.00055	0.04987	
1.820	0.3330	0.000	-0.00055	0.04994	
1.825	0.3492	0.000	-0.00055	0.04998	
1.830	0.3539	0.000	-0.00055	0.05003	
1.835	0.3472	0.000	-0.00055	0.05010	
1.840	0.3318	0.000	-0.00055	0.05016	
1.845	0.3105	0.000	-0.00055	0.05017	
1.850	0.2855	0.000	-0.00055	0.05014	
1.855	0.2587	0.000	-0.00055	0.05012	
1.860	0.2315	0.000	-0.00056	0.05010	
1.865	0.2047	0.000	-0.00056	0.05009	
1.870	0.1791	0.000	-0.00056	0.05007	
1.875	0.1553	0.000	-0.00057	0.05006	
1.880	0.1336	0.000	-0.00057	0.05005	
1.885	0.1140	0.000	-0.00057	0.05004	
1.890	0.09659	0.000	-0.00057	0.05002	
1.895	0.08123	0.000	-0.00057	0.05001	
1.900	0.06778	0.000	-0.00058	0.05001	
1.905	0.05609	0	-0.00058	0.05001	
1.910	0.04599	0.000	-0.00058	0.04999	
1.915	0.03732	0.000	-0.00058	0.04997	
1.920	0.02993	0.000	-0.00058	0.04997	
1.925	0.02367	0.000	-0.00059	0.04996	
1.930	0.01843	0.000	-0.00059	0.04993	
1.935	0.01408	0.000	-0.00059	0.04990	
1.940	0.01051	0.000	-0.00059	0.04987	
1.945	0.00760	0.000	-0.00059	0.04983	
1.950	0.00527	0.000	-0.00060	0.04978	
1.955	0.00342	0.000	-0.00060	0.04974	
1.960	0.00197	0.000	-0.00060	0.04969	
1.965	0.00087	0.000	-0.00060	0.04964	
1.970	0.000	0.000	-0.00060	0.04959	
1.975	-0.00055	0.000	-0.00060	0.04955	
1.980	-0.00097	0.000	-0.00059	0.04952	
