Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	0.000	-0.00011	0.2829	0.02983	
0.00500	0.000	0.000	0.2829	0.02986	
0.01000	0.000	-0.00011	0.2829	0.02988	
0.01500	0.000	-0.00012	0.2829	0.02990	
0.02000	0.000	0.000	0.2829	0.02991	
0.02500	0.000	-0.00011	0.2828	0.02994	
0.03000	0.000	-0.00012	0.2829	0.02996	
0.03500	0.000	-0.00010	0.2829	0.02997	
0.04000	0.000	-0.00010	0.2828	0.02999	
0.04500	0.000	-0.00012	0.2828	0.03001	
0.05000	0.000	-0.00011	0.2829	0.03004	
0.05500	0.000	-0.00010	0.2828	0.03007	
0.06000	0.000	-0.00012	0.2828	0.03011	
0.06500	0.000	-0.00012	0.2829	0.03014	
0.07000	0.000	-0.00010	0.2829	0.03018	
0.07500	0.000	-0.00011	0.2828	0.03022	
0.08000	0.000	-0.00012	0.2828	0.03026	
0.08500	0.000	-0.00011	0.2828	0.03030	
0.09000	0.000	-0.00010	0.2827	0.03034	
0.09500	0.000	-0.00012	0.2827	0.03038	
0.1000	0.000	-0.00011	0.2826	0.03042	
0.1050	0.000	-0.00010	0.2823	0.03046	
0.1100	0.000	-0.00012	0.2820	0.03050	
0.1150	0.000	-0.00012	0.2817	0.03054	
0.1200	0.000	0.000	0.2813	0.03059	
0.1250	0.000	-0.00011	0.2809	0.03065	
0.1300	0.000	-0.00012	0.2806	0.03070	
0.1350	0.000	0.000	0.2802	0.03076	
0.1400	0.000	0.000	0.2798	0.03081	
0.1450	0.000	-0.00011	0.2793	0.03088	
0.1500	0.000	-0.00010	0.2787	0.03094	
0.1550	0.000	0.000	0.2781	0.03099	
0.1600	0.000	-0.00011	0.2774	0.03105	
0.1650	0.000	-0.00011	0.2767	0.03112	
0.1700	0.000	0.000	0.2760	0.03117	
0.1750	0.000	0.000	0.2752	0.03123	
0.1800	0.000	-0.00011	0.2745	0.03129	
0.1850	0.000	0.000	0.2738	0.03135	
0.1900	0.000	0.000	0.2730	0.03140	
0.1950	0.000	-0.00012	0.2721	0.03146	
0.2000	0.000	-0.00011	0.2713	0.03152	
0.2050	0.000	0.000	0.2704	0.03159	
0.2100	0.000	-0.00011	0.2696	0.03168	
0.2150	0.000	-0.00011	0.2689	0.03176	
0.2200	0.00013	0.000	0.2681	0.03185	
0.2250	0.00019	-0.00011	0.2674	0.03194	
0.2300	0.00026	-0.00012	0.2667	0.03201	
0.2350	0.00034	-0.00010	0.2661	0.03205	
0.2400	0.00041	-0.00010	0.2654	0.03204	
0.2450	0.00048	-0.00012	0.2648	0.03201	
0.2500	0.00053	-0.00011	0.2642	0.03196	
0.2550	0.00057	0.000	0.2637	0.03189	
0.2600	0.00059	-0.00011	0.2633	0.03183	
0.2650	0.00059	-0.00011	0.2631	0.03177	
0.2700	0.00058	0.000	0.2629	0.03177	
0.2750	0.00055	-0.00010	0.2627	0.03181	
0.2800	0.00053	-0.00012	0.2625	0.03187	
0.2850	0.00050	-0.00010	0.2623	0.03193	
0.2900	0.00046	0.000	0.2622	0.03196	
0.2950	0.00042	-0.00012	0.2621	0.03198	
0.3000	0.00039	-0.00011	0.2621	0.03200	
0.3050	0.00035	0.000	0.2621	0.03201	
