Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	1.916	-0.00260	-0.00203	0.00112	
0.00500	1.872	-0.00260	0.00438	0.00091	
0.01000	1.828	-0.00259	0.01080	0.00071	
0.01500	1.790	-0.00261	0.01723	0.00051	
0.02000	1.764	-0.00262	0.02374	0.00031	
0.02500	1.754	-0.00260	0.03024	0.00012	
0.03000	1.766	-0.00260	0.03671	0.000	
0.03500	1.800	-0.00262	0.04321	-0.00027	
0.04000	1.851	-0.00261	0.04968	-0.00047	
0.04500	1.911	-0.00261	0.05606	-0.00067	
0.05000	1.967	-0.00262	0.06240	-0.00087	
0.05500	2.007	-0.00262	0.06870	-0.00108	
0.06000	2.024	-0.00260	0.07490	-0.00128	
0.06500	2.017	-0.00261	0.08100	-0.00148	
0.07000	1.987	-0.00262	0.08706	-0.00168	
0.07500	1.938	-0.00261	0.09299	-0.00188	
0.08000	1.878	-0.00261	0.09878	-0.00207	
0.08500	1.813	-0.00262	0.1045	-0.00226	
0.09000	1.747	-0.00261	0.1100	-0.00244	
0.09500	1.687	-0.00259	0.1154	-0.00262	
0.1000	1.634	-0.00261	0.1206	-0.00280	
0.1050	1.590	-0.00261	0.1257	-0.00296	
0.1100	1.553	-0.00259	0.1306	-0.00313	
0.1150	1.520	-0.00260	0.1353	-0.00330	
0.1200	1.486	-0.00261	0.1400	-0.00347	
0.1250	1.448	-0.00259	0.1444	-0.00363	
0.1300	1.399	-0.00260	0.1487	-0.00378	
0.1350	1.337	-0.00261	0.1528	-0.00393	
0.1400	1.264	-0.00261	0.1568	-0.00408	
0.1450	1.186	-0.00260	0.1605	-0.00422	
0.1500	1.105	-0.00262	0.1641	-0.00435	
0.1550	1.021	-0.00262	0.1677	-0.00446	
0.1600	0.9320	-0.00260	0.1710	-0.00456	
0.1650	0.8405	-0.00261	0.1742	-0.00466	
0.1700	0.7497	-0.00262	0.1772	-0.00474	
0.1750	0.6631	-0.00261	0.1800	-0.00482	
0.1800	0.5842	-0.00261	0.1826	-0.00488	
0.1850	0.5165	-0.00263	0.1850	-0.00492	
0.1900	0.4623	-0.00262	0.1872	-0.00496	
0.1950	0.4224	-0.00261	0.1891	-0.00499	
0.2000	0.3969	-0.00262	0.1908	-0.00501	
0.2050	0.3819	-0.00262	0.1922	-0.00502	
0.2100	0.3689	-0.00261	0.1933	-0.00502	
0.2150	0.3512	-0.00262	0.1942	-0.00501	
0.2200	0.3282	-0.00264	0.1949	-0.00498	
0.2250	0.3016	-0.00262	0.1954	-0.00494	
0.2300	0.2731	-0.00262	0.1956	-0.00490	
0.2350	0.2441	-0.00264	0.1956	-0.00483	
0.2400	0.2156	-0.00264	0.1955	-0.00475	
0.2450	0.1878	-0.00263	0.1950	-0.00465	
0.2500	0.1602	-0.00265	0.1944	-0.00454	
0.2550	0.1307	-0.00265	0.1935	-0.00441	
0.2600	0.09629	-0.00263	0.1923	-0.00426	
0.2650	0.05660	-0.00264	0.1908	-0.00411	
0.2700	0.01536	-0.00265	0.1891	-0.00395	
0.2750	-0.02324	-0.00263	0.1871	-0.00379	
0.2800	-0.05978	-0.00263	0.1849	-0.00363	
0.2850	-0.09986	-0.00264	0.1824	-0.00346	
0.2900	-0.1521	-0.00263	0.1797	-0.00329	
0.2950	-0.2215	-0.00262	0.1768	-0.00312	
0.3000	-0.3122	-0.00264	0.1737	-0.00293	
0.3050	-0.4254	-0.00263	0.1705	-0.00273	
0.3100	-0.5591	-0.00261	0.1670	-0.00252	
0.3150	-0.7106	-0.00262	0.1633	-0.00229	
0.3200	-0.8757	-0.00264	0.1594	-0.00206	
0.3250	-1.047	-0.00262	0.1552	-0.00182	
0.3300	-1.216	-0.00262	0.1508	-0.00157	
0.3350	-1.373	-0.00264	0.1462	-0.00132	
0.3400	-1.507	-0.00263	0.1414	-0.00106	
0.3450	-1.613	-0.00262	0.1363	-0.00079	
0.3500	-1.690	-0.00264	0.1309	-0.00051	
0.3550	-1.745	-0.00264	0.1254	-0.00022	
0.3600	-1.785	-0.00262	0.1196	0.000	
0.3650	-1.817	-0.00264	0.1137	0.00038	
0.3700	-1.847	-0.00264	0.1076	0.00064	
0.3750	-1.880	-0.00262	0.1014	0.00090	
0.3800	-1.919	-0.00262	0.09504	0.00116	
0.3850	-1.965	-0.00264	0.08853	0.00142	
0.3900	-2.019	-0.00262	0.08183	0.00168	
0.3950	-2.080	-0.00261	0.07489	0.00193	
0.4000	-2.147	-0.00263	0.06779	0.00219	
0.4050	-2.218	-0.00263	0.06055	0.00244	
0.4100	-2.292	-0.00261	0.05311	0.00270	
0.4150	-2.366	-0.00262	0.04551	0.00295	
0.4200	-2.438	-0.00263	0.03779	0.00321	
0.4250	-2.505	-0.00262	0.02992	0.00345	
0.4300	-2.563	-0.00262	0.02188	0.00369	
0.4350	-2.606	-0.00264	0.01374	0.00393	
0.4400	-2.633	-0.00263	0.00552	0.00419	
0.4450	-2.644	-0.00262	-0.00283	0.00445	
0.4500	-2.643	-0.00263	-0.01117	0.00470	
0.4550	-2.634	-0.00263	-0.01946	0.00493	
0.4600	-2.617	-0.00261	-0.02772	0.00516	
0.4650	-2.593	-0.00262	-0.03592	0.00538	
0.4700	-2.563	-0.00263	-0.04402	0.00561	
