Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	-0.2823	0.00076	-0.09997	0.04257	
0.00500	-0.4011	0.00076	-0.09745	0.04232	
0.01000	-0.5310	0.00076	-0.09483	0.04204	
0.01500	-0.6600	0.00073	-0.09207	0.04176	
0.02000	-0.7776	0.00072	-0.08914	0.04145	
0.02500	-0.8759	0.00074	-0.08611	0.04119	
0.03000	-0.9521	0.00073	-0.08292	0.04096	
0.03500	-1.008	0.00072	-0.07950	0.04076	
0.04000	-1.046	0.00076	-0.07597	0.04058	
0.04500	-1.073	0.00078	-0.07239	0.04041	
0.05000	-1.095	0.00077	-0.06862	0.04024	
0.05500	-1.120	0.00079	-0.06468	0.04006	
0.06000	-1.152	0.00080	-0.06064	0.03993	
0.06500	-1.196	0.00078	-0.05643	0.03977	
0.07000	-1.252	0.00077	-0.05209	0.03959	
0.07500	-1.318	0.00078	-0.04772	0.03939	
0.08000	-1.389	0.00076	-0.04327	0.03918	
0.08500	-1.460	0.00073	-0.03864	0.03901	
0.09000	-1.523	0.00075	-0.03389	0.03879	
0.09500	-1.573	0.00075	-0.02907	0.03859	
0.1000	-1.605	0.00073	-0.02408	0.03840	
0.1050	-1.621	0.00076	-0.01893	0.03823	
0.1100	-1.622	0.00079	-0.01374	0.03805	
0.1150	-1.613	0.00078	-0.00847	0.03789	
0.1200	-1.600	0.00078	-0.00315	0.03774	
0.1250	-1.587	0.00082	0.00211	0.03763	
0.1300	-1.577	0.00081	0.00735	0.03752	
0.1350	-1.572	0.00079	0.01267	0.03737	
0.1400	-1.573	0.00082	0.01796	0.03720	
0.1450	-1.577	0.00082	0.02321	0.03703	
0.1500	-1.580	0.00079	0.02846	0.03692	
0.1550	-1.574	0.00080	0.03367	0.03678	
0.1600	-1.557	0.00082	0.03874	0.03668	
0.1650	-1.528	0.00080	0.04376	0.03656	
0.1700	-1.485	0.00081	0.04873	0.03651	
0.1750	-1.432	0.00084	0.05351	0.03642	
0.1800	-1.372	0.00084	0.05808	0.03639	
0.1850	-1.305	0.00084	0.06248	0.03632	
0.1900	-1.230	0.00087	0.06666	0.03631	
0.1950	-1.155	0.00088	0.07058	0.03625	
0.2000	-1.083	0.00086	0.07431	0.03625	
0.2050	-1.011	0.00088	0.07781	0.03622	
0.2100	-0.9356	0.00090	0.08098	0.03622	
0.2150	-0.8554	0.00088	0.08386	0.03625	
0.2200	-0.7720	0.00089	0.08645	0.03631	
0.2250	-0.6881	0.00092	0.08862	0.03639	
0.2300	-0.6064	0.00092	0.09045	0.03650	
0.2350	-0.5287	0.00091	0.09199	0.03664	
0.2400	-0.4563	0.00093	0.09314	0.03676	
0.2450	-0.3900	0.00093	0.09385	0.03701	
0.2500	-0.3301	0.00091	0.09423	0.03721	
0.2550	-0.2767	0.00092	0.09421	0.03746	
0.2600	-0.2294	0.00093	0.09368	0.03764	
0.2650	-0.1867	0.00090	0.09268	0.03782	
0.2700	-0.1428	0.00089	0.09130	0.03812	
0.2750	-0.08947	0.00090	0.08948	0.03837	
0.2800	-0.02264	0.00089	0.08732	0.03855	
0.2850	0.05825	0.00087	0.08491	0.03857	
0.2900	0.1550	0.00090	0.08218	0.03857	
0.2950	0.2674	0.00091	0.07907	0.03867	
0.3000	0.3967	0.00090	0.07571	0.03891	
0.3050	0.5438	0.00093	0.07209	0.03917	
0.3100	0.7068	0.00097	0.06816	0.03953	
0.3150	0.8806	0.00096	0.06402	0.03982	
0.3200	1.058	0.00098	0.05965	0.04022	
0.3250	1.233	0.00102	0.05497	0.04058	
0.3300	1.395	0.00102	0.05002	0.04099	
0.3350	1.538	0.00100	0.04482	0.04131	
0.3400	1.656	0.00101	0.03932	0.04160	
0.3450	1.746	0.00100	0.03354	0.04190	
0.3500	1.810	0.00096	0.02762	0.04220	
0.3550	1.853	0.00095	0.02152	0.04253	
0.3600	1.883	0.00094	0.01517	0.04272	
0.3650	1.906	0.00090	0.00872	0.04291	
0.3700	1.927	0.00087	0.00225	0.04298	
0.3750	1.947	0.00088	-0.00433	0.04318	
0.3800	1.970	0.00085	-0.01098	0.04336	
0.3850	1.996	0.00083	-0.01762	0.04360	
0.3900	2.025	0.00086	-0.02434	0.04376	
0.3950	2.052	0.00086	-0.03116	0.04400	
0.4000	2.074	0.00084	-0.03795	0.04415	
0.4050	2.087	0.00085	-0.04466	0.04439	
0.4100	2.090	0.00085	-0.05136	0.04459	
0.4150	2.085	0.00082	-0.05799	0.04480	
0.4200	2.072	0.00082	-0.06454	0.04503	
0.4250	2.052	0.00084	-0.07113	0.04522	
0.4300	2.027	0.00082	-0.07771	0.04543	
0.4350	1.997	0.00080	-0.08417	0.04561	
0.4400	1.961	0.00081	-0.09059	0.04575	
0.4450	1.919	0.00080	-0.09693	0.04589	
0.4500	1.869	0.00076	-0.1031	0.04605	
0.4550	1.811	0.00076	-0.1091	0.04619	
0.4600	1.742	0.00076	-0.1149	0.04635	
0.4650	1.665	0.00073	-0.1205	0.04643	
0.4700	1.577	0.00072	-0.1257	0.04651	
0.4750	1.477	0.00074	-0.1307	0.04657	
0.4800	1.366	0.00072	-0.1354	0.04662	
0.4850	1.248	0.00070	-0.1396	0.04667	
0.4900	1.128	0.00072	-0.1435	0.04670	
0.4950	1.010	0.00072	-0.1470	0.04672	
0.5000	0.8993	0.00070	-0.1501	0.04672	
0.5050	0.7957	0.00072	-0.1527	0.04666	
0.5100	0.6980	0.00075	-0.1549	0.04663	
0.5150	0.6062	0.00073	-0.1567	0.04657	
0.5200	0.5213	0.00074	-0.1583	0.04657	
0.5250	0.4439	0.00078	-0.1596	0.04649	
0.5300	0.3744	0.00077	-0.1606	0.04640	
0.5350	0.3126	0.00076	-0.1614	0.04618	
0.5400	0.2584	0.00079	-0.1618	0.04596	
0.5450	0.2113	0.00080	-0.1619	0.04573	
0.5500	0.1707	0.00078	-0.1616	0.04548	
0.5550	0.1361	0.00080	-0.1609	0.04530	
0.5600	0.1059	0.00082	-0.1598	0.04509	
0.5650	0.07708	0.00080	-0.1583	0.04486	
0.5700	0.04551	0.00080	-0.1564	0.04466	
0.5750	0.00665	0.00082	-0.1542	0.04449	
0.5800	-0.04853	0.00080	-0.1517	0.04434	
0.5850	-0.1277	0.00077	-0.1488	0.04416	
0.5900	-0.2351	0.00078	-0.1455	0.04393	
0.5950	-0.3720	0.00076	-0.1420	0.04365	
0.6000	-0.5353	0.00070	-0.1381	0.04337	
0.6050	-0.7184	0.00069	-0.1340	0.04301	
0.6100	-0.9131	0.00068	-0.1297	0.04264	
0.6150	-1.110	0.00063	-0.1253	0.04224	
0.6200	-1.298	0.00062	-0.1205	0.04187	
0.6250	-1.466	0.00064	-0.1155	0.04148	
0.6300	-1.605	0.00062	-0.1104	0.04115	
0.6350	-1.712	0.00062	-0.1048	0.04080	
0.6400	-1.788	0.00066	-0.09914	0.04054	
0.6450	-1.837	0.00069	-0.09328	0.04034	
0.6500	-1.868	0.00069	-0.08716	0.04019	
0.6550	-1.892	0.00073	-0.08081	0.03999	
0.6600	-1.918	0.00077	-0.07434	0.03981	
0.6650	-1.953	0.00077	-0.06773	0.03962	
0.6700	-2.003	0.00078	-0.06092	0.03946	
0.6750	-2.069	0.00080	-0.05401	0.03928	
0.6800	-2.145	0.00079	-0.04697	0.03904	
0.6850	-2.222	0.00077	-0.03971	0.03881	
0.6900	-2.295	0.00079	-0.03232	0.03855	
0.6950	-2.356	0.00079	-0.02490	0.03836	
0.7000	-2.402	0.00078	-0.01737	0.03812	
0.7050	-2.427	0.00081	-0.00978	0.03793	
0.7100	-2.432	0.00085	-0.00223	0.03767	
0.7150	-2.414	0.00085	0.00534	0.03752	
0.7200	-2.373	0.00088	0.01291	0.03730	
0.7250	-2.311	0.00093	0.02034	0.03712	
0.7300	-2.231	0.00095	0.02765	0.03691	
0.7350	-2.140	0.00095	0.03486	0.03673	
0.7400	-2.045	0.00099	0.04189	0.03654	
0.7450	-1.950	0.00100	0.04870	0.03641	
0.7500	-1.862	0.00098	0.05534	0.03625	
0.7550	-1.785	0.00098	0.06176	0.03606	
0.7600	-1.720	0.00098	0.06784	0.03590	
0.7650	-1.667	0.00094	0.07362	0.03572	
0.7700	-1.623	0.00092	0.07910	0.03557	
0.7750	-1.584	0.00093	0.08418	0.03539	
0.7800	-1.542	0.00091	0.08889	0.03523	
0.7850	-1.495	0.00089	0.09333	0.03504	
0.7900	-1.440	0.00091	0.09745	0.03491	
0.7950	-1.374	0.00092	0.1013	0.03480	
0.8000	-1.299	0.00090	0.1048	0.03472	
0.8050	-1.217	0.00092	0.1081	0.03465	
0.8100	-1.126	0.00094	0.1110	0.03462	
0.8150	-1.025	0.00092	0.1135	0.03461	
0.8200	-0.9195	0.00093	0.1157	0.03462	
0.8250	-0.8131	0.00096	0.1175	0.03464	
0.8300	-0.7106	0.00095	0.1190	0.03469	
0.8350	-0.6145	0.00093	0.1202	0.03474	
0.8400	-0.5262	0.00096	0.1211	0.03483	
0.8450	-0.4462	0.00096	0.1218	0.03499	
0.8500	-0.3747	0.00093	0.1222	0.03514	
0.8550	-0.3115	0.00093	0.1224	0.03534	
0.8600	-0.2563	0.00094	0.1223	0.03553	
0.8650	-0.2082	0.00091	0.1219	0.03572	
0.8700	-0.1654	0.00090	0.1214	0.03593	
0.8750	-0.1250	0.00091	0.1206	0.03617	
0.8800	-0.08466	0.00089	0.1197	0.03641	
0.8850	-0.04315	0.00086	0.1186	0.03659	
0.8900	0.00077	0.00089	0.1173	0.03670	
0.8950	0.05125	0.00089	0.1159	0.03672	
0.9000	0.1151	0.00087	0.1143	0.03671	
0.9050	0.1951	0.00089	0.1125	0.03699	
0.9100	0.2936	0.00092	0.1104	0.03719	
0.9150	0.4097	0.00090	0.1080	0.03744	
0.9200	0.5408	0.00091	0.1053	0.03772	
0.9250	0.6827	0.00094	0.1023	0.03804	
0.9300	0.8299	0.00093	0.09891	0.03840	
0.9350	0.9755	0.00093	0.09532	0.03871	
0.9400	1.113	0.00096	0.09142	0.03909	
0.9450	1.237	0.00097	0.08717	0.03940	
0.9500	1.346	0.00095	0.08269	0.03975	
0.9550	1.442	0.00096	0.07799	0.04001	
0.9600	1.525	0.00098	0.07303	0.04030	
0.9650	1.596	0.00095	0.06788	0.04054	
0.9700	1.661	0.00093	0.06256	0.04078	
0.9750	1.718	0.00095	0.05702	0.04099	
0.9800	1.770	0.00093	0.05126	0.04123	
0.9850	1.814	0.00090	0.04536	0.04142	
0.9900	1.850	0.00092	0.03928	0.04161	
0.9950	1.876	0.00092	0.03306	0.04181	
1.000	1.894	0.00090	0.02683	0.04199	
