Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	2.322	-0.00024	-0.00021	0.04168	
0.00500	2.065	-0.00024	-0.00022	0.04114	
0.01000	1.811	-0.00027	-0.00022	0.04134	
0.01500	1.555	-0.00029	-0.00023	0.04035	
0.02000	1.291	-0.00028	-0.00023	0.03972	
0.02500	1.011	-0.00028	-0.00023	0.03988	
0.03000	0.7101	-0.00030	-0.00023	0.03897	
0.03500	0.3832	-0.00031	-0.00022	0.03883	
0.04000	0.02932	-0.00030	-0.00021	0.03800	
0.04500	-0.3499	-0.00033	-0.00020	0.03786	
0.05000	-0.7498	-0.00034	-0.00019	0.03692	
0.05500	-1.161	-0.00032	-0.00018	0.03694	
0.06000	-1.573	-0.00032	-0.00016	0.03570	
0.06500	-1.977	-0.00031	-0.00015	0.03518	
0.07000	-2.368	-0.00026	-0.00013	0.03447	
0.07500	-2.743	-0.00022	-0.00011	0.03449	
0.08000	-3.099	-0.00020	0.000	0.03425	
0.08500	-3.434	-0.00016	0.000	0.03315	
0.09000	-3.748	-0.00011	0.000	0.03275	
0.09500	-4.044	-0.00010	0.000	0.03235	
0.1000	-4.321	0.000	0.000	0.03209	
0.1050	-4.578	0.000	0.000	0.03161	
0.1100	-4.818	0.000	0.000	0.03196	
0.1150	-5.040	0	0.00011	0.03100	
0.1200	-5.244	0.000	0.00014	0.02999	
0.1250	-5.436	0.000	0.00017	0.02963	
0.1300	-5.618	0.000	0.00021	0.02961	
0.1350	-5.789	0.000	0.00024	0.02954	
0.1400	-5.946	0.00011	0.00027	0.02834	
0.1450	-6.087	0.00012	0.00031	0.02800	
0.1500	-6.206	0.00014	0.00034	0.02717	
0.1550	-6.298	0.00017	0.00038	0.02693	
0.1600	-6.361	0.00017	0.00041	0.02625	
0.1650	-6.391	0.00017	0.00045	0.02627	
0.1700	-6.389	0.00020	0.00048	0.02565	
0.1750	-6.353	0.00022	0.00051	0.02538	
0.1800	-6.288	0.00023	0.00054	0.02457	
0.1850	-6.192	0.00027	0.00058	0.02451	
0.1900	-6.067	0.00031	0.00061	0.02386	
0.1950	-5.915	0.00033	0.00064	0.02359	
0.2000	-5.740	0.00034	0.00066	0.02372	
0.2050	-5.546	0.00038	0.00069	0.02319	
0.2100	-5.336	0.00039	0.00072	0.02258	
0.2150	-5.108	0.00039	0.00074	0.02237	
0.2200	-4.860	0.00041	0.00077	0.02240	
0.2250	-4.590	0.00043	0.00079	0.02249	
0.2300	-4.296	0.00043	0.00081	0.02231	
0.2350	-3.980	0.00045	0.00083	0.02244	
0.2400	-3.645	0.00048	0.00084	0.02209	
0.2450	-3.295	0.00048	0.00086	0.02201	
0.2500	-2.941	0.00048	0.00087	0.02181	
0.2550	-2.596	0.00050	0.00088	0.02261	
0.2600	-2.265	0.00048	0.00089	0.02271	
0.2650	-1.955	0.00045	0.00090	0.02322	
0.2700	-1.665	0.00044	0.00091	0.02357	
0.2750	-1.389	0.00041	0.00091	0.02398	
0.2800	-1.121	0.00036	0.00091	0.02379	
0.2850	-0.8580	0.00034	0.00092	0.02332	
0.2900	-0.5946	0.00033	0.00091	0.02379	
0.2950	-0.3244	0.00030	0.00091	0.02545	
0.3000	-0.04133	0.00029	0.00091	0.02656	
0.3050	0.2621	0.00030	0.00091	0.02706	
0.3100	0.5924	0.00029	0.00090	0.02731	
0.3150	0.9548	0.00029	0.00089	0.02710	
0.3200	1.350	0.00032	0.00088	0.02951	
0.3250	1.773	0.00035	0.00087	0.03039	
0.3300	2.215	0.00036	0.00085	0.03110	
0.3350	2.666	0.00040	0.00084	0.03248	
0.3400	3.114	0.00046	0.00082	0.03247	
0.3450	3.549	0.00048	0.00080	0.03301	
0.3500	3.962	0.00051	0.00078	0.03399	
0.3550	4.350	0.00055	0.00076	0.03566	
0.3600	4.710	0.00056	0.00074	0.03572	
0.3650	5.047	0.00055	0.00071	0.03639	
0.3700	5.367	0.00056	0.00068	0.03681	
0.3750	5.678	0.00055	0.00066	0.03722	
0.3800	5.989	0.00052	0.00062	0.03777	
0.3850	6.306	0.00052	0.00059	0.03852	
0.3900	6.634	0.00053	0.00056	0.03968	
0.3950	6.970	0.00052	0.00052	0.04063	
0.4000	7.306	0.00053	0.00048	0.04186	
0.4050	7.631	0.00056	0.00044	0.04063	
0.4100	7.933	0.00057	0.00039	0.03932	
0.4150	8.200	0.00056	0.00035	0.03862	
0.4200	8.424	0.00058	0.00030	0.03999	
0.4250	8.599	0.00058	0.00025	0.04125	
0.4300	8.721	0.00055	0.00020	0.04101	
0.4350	8.790	0.00054	0.00014	0.04257	
0.4400	8.804	0.00053	0.000	0.04415	
0.4450	8.757	0.00048	0.000	0.04339	
0.4500	8.642	0.00043	0.000	0.04223	
0.4550	8.444	0.00040	0.000	0.04462	
0.4600	8.154	0.00034	-0.00012	0.04370	
0.4650	7.771	0.00027	-0.00017	0.04549	
0.4700	7.309	0.00022	-0.00022	0.04638	
0.4750	6.786	0.00016	-0.00026	0.04652	
0.4800	6.227	0.000	-0.00031	0.04541	
0.4850	5.650	0.000	-0.00035	0.04584	
0.4900	5.067	0.000	-0.00038	0.04560	
0.4950	4.491	-0.00013	-0.00042	0.04540	
0.5000	3.937	-0.00019	-0.00045	0.04568	
0.5050	3.416	-0.00022	-0.00047	0.04486	
0.5100	2.933	-0.00026	-0.00049	0.04672	
0.5150	2.492	-0.00030	-0.00051	0.04527	
0.5200	2.084	-0.00030	-0.00052	0.04470	
0.5250	1.702	-0.00031	-0.00054	0.04487	
0.5300	1.336	-0.00034	-0.00054	0.04452	
0.5350	0.9726	-0.00034	-0.00055	0.04400	
0.5400	0.5981	-0.00033	-0.00055	0.04343	
0.5450	0.2019	-0.00036	-0.00054	0.04291	
0.5500	-0.2224	-0.00038	-0.00054	0.04259	
0.5550	-0.6766	-0.00038	-0.00053	0.04243	
0.5600	-1.155	-0.00040	-0.00051	0.04174	
0.5650	-1.646	-0.00042	-0.00049	0.04249	
0.5700	-2.135	-0.00040	-0.00047	0.04125	
0.5750	-2.608	-0.00039	-0.00045	0.04161	
0.5800	-3.048	-0.00038	-0.00042	0.04058	
0.5850	-3.443	-0.00033	-0.00040	0.04041	
0.5900	-3.787	-0.00027	-0.00037	0.04070	
0.5950	-4.073	-0.00023	-0.00034	0.04068	
0.6000	-4.301	-0.00017	-0.00031	0.04122	
0.6050	-4.473	0.000	-0.00028	0.04080	
0.6100	-4.600	0	-0.00024	0.04124	
0.6150	-4.688	0.000	-0.00021	0.04105	
0.6200	-4.742	0.00014	-0.00017	0.04118	
0.6250	-4.765	0.00020	-0.00014	0.04064	
0.6300	-4.762	0.00022	-0.00011	0.04116	
0.6350	-4.735	0.00025	0.000	0.04097	
