Time  1 - default sample rate [s]	WIV_Voltage [mV/V]	WIV_Current [mV/V]	WIV_Poten [V]	WIV_dynamometer [mV/V]
0	0.00023	-0.00061	0.06969	0.03999	
0.00500	0.00023	0.00054	0.06921	0.03995	
0.01000	0.00022	-0.00021	0.06748	0.03995	
0.01500	0.00023	-0.00089	0.06904	0.04001	
0.02000	0.00022	0.00029	0.06974	0.04001	
0.02500	0.00022	0.00027	0.06777	0.03998	
0.03000	0.00022	-0.00091	0.06823	0.03999	
0.03500	0.00023	-0.00016	0.06992	0.03997	
0.04000	0.00022	0.00054	0.06845	0.03990	
0.04500	0.00022	-0.00064	0.06764	0.03993	
0.05000	0.00023	-0.00058	0.06967	0.03997	
0.05500	0.00023	0.00057	0.06920	0.03994	
0.06000	0.00023	-0.00018	0.06744	0.03996	
0.06500	0.00022	-0.00092	0.06898	0.04002	
0.07000	0.00022	0.00023	0.06971	0.04000	
0.07500	0.00022	0.00021	0.06776	0.03994	
0.08000	0.00022	-0.00095	0.06819	0.03999	
0.08500	0.00022	-0.00019	0.06990	0.04001	
0.09000	0.00023	0.00054	0.06846	0.03997	
0.09500	0.00022	-0.00065	0.06764	0.03995	
0.1000	0.00022	-0.00066	0.06967	0.03997	
0.1050	0.00023	0.00048	0.06924	0.03995	
0.1100	0.00022	-0.00024	0.06748	0.03996	
0.1150	0.00023	-0.00092	0.06901	0.03999	
0.1200	0.00023	0.00026	0.06975	0.03997	
0.1250	0.00022	0.00026	0.06778	0.03994	
0.1300	0.00022	-0.00091	0.06819	0.04000	
0.1350	0.00023	-0.00017	0.06991	0.04001	
0.1400	0.00023	0.00056	0.06848	0.03996	
0.1450	0.00023	-0.00062	0.06764	0.03998	
0.1500	0.00023	-0.00062	0.06966	0.04001	
0.1550	0.00023	0.00054	0.06925	0.03998	
0.1600	0.00022	-0.00018	0.06749	0.03999	
0.1650	0.00022	-0.00096	0.06899	0.04002	
0.1700	0.00023	0.00017	0.06975	0.04000	
0.1750	0.00023	0.00019	0.06779	0.03996	
0.1800	0.00023	-0.00095	0.06818	0.03998	
0.1850	0.00022	-0.00021	0.06991	0.03999	
0.1900	0.00022	0.00054	0.06850	0.03997	
0.1950	0.00022	-0.00062	0.06763	0.03997	
0.2000	0.00022	-0.00065	0.06965	0.03999	
0.2050	0.00022	0.00052	0.06925	0.03996	
0.2100	0.00022	-0.00019	0.06748	0.03996	
0.2150	0.00022	-0.00092	0.06897	0.04001	
0.2200	0.00023	0.00023	0.06976	0.03997	
0.2250	0.00022	0.00026	0.06781	0.03993	
0.2300	0.00022	-0.00092	0.06818	0.03998	
0.2350	0.00022	-0.00022	0.06992	0.03999	
0.2400	0.00022	0.00053	0.06852	0.03995	
0.2450	0.00022	-0.00063	0.06763	0.03997	
0.2500	0.00022	-0.00063	0.06965	0.04002	
0.2550	0.00022	0.00054	0.06928	0.04002	
0.2600	0.00022	-0.00016	0.06749	0.03999	
0.2650	0.00023	-0.00091	0.06896	0.04000	
0.2700	0.00023	0.00021	0.06977	0.03998	
0.2750	0.00023	0.00024	0.06783	0.03994	
0.2800	0.00022	-0.00094	0.06816	0.03998	
0.2850	0.00023	-0.00026	0.06991	0.03997	
0.2900	0.00023	0.00049	0.06853	0.03995	
0.2950	0.00023	-0.00065	0.06762	0.03999	
0.3000	0.00022	-0.00067	0.06964	0.04001	
0.3050	0.00022	0.00049	0.06928	0.03995	
0.3100	0.00022	-0.00019	0.06749	0.03994	
0.3150	0.00022	-0.00091	0.06895	0.04000	
0.3200	0.00022	0.00023	0.06978	0.03999	
0.3250	0.00023	0.00030	0.06783	0.03995	
0.3300	0.00023	-0.00091	0.06815	0.03999	
0.3350	0.00023	-0.00024	0.06991	0.03999	
0.3400	0.00023	0.00053	0.06854	0.03995	
0.3450	0.00023	-0.00064	0.06762	0.03996	
0.3500	0.00023	-0.00068	0.06963	0.03998	
0.3550	0.00023	0.00050	0.06930	0.03992	
0.3600	0.00022	-0.00018	0.06749	0.03990	
0.3650	0.00023	-0.00095	0.06893	0.03997	
0.3700	0.00023	0.00018	0.06978	0.03997	
0.3750	0.00023	0.00026	0.06783	0.03994	
0.3800	0.00023	-0.00091	0.06813	0.03999	
0.3850	0.00023	-0.00022	0.06991	0.04000	
0.3900	0.00022	0.00057	0.06856	0.03996	
0.3950	0.00022	-0.00060	0.06762	0.03998	
0.4000	0.00022	-0.00069	0.06962	0.04001	
0.4050	0.00022	0.00047	0.06931	0.03998	
0.4100	0.00023	-0.00019	0.06750	0.03996	
0.4150	0.00023	-0.00093	0.06892	0.03998	
0.4200	0.00023	0.00022	0.06979	0.03995	
0.4250	0.00023	0.00030	0.06785	0.03988	
0.4300	0.00023	-0.00091	0.06813	0.03993	
0.4350	0.00023	-0.00026	0.06991	0.03996	
0.4400	0.00023	0.00053	0.06857	0.03992	
0.4450	0.00023	-0.00061	0.06761	0.03995	
0.4500	0.00022	-0.00065	0.06962	0.03999	
0.4550	0.00022	0.00054	0.06932	0.03995	
0.4600	0.00022	-0.00011	0.06750	0.03994	
0.4650	0.00023	-0.00093	0.06891	0.03996	
0.4700	0.00023	0.00020	0.06979	0.03996	
0.4750	0.00022	0.00028	0.06785	0.03993	
0.4800	0.00022	-0.00093	0.06812	0.03997	
0.4850	0.00022	-0.00029	0.06992	0.04001	
0.4900	0.00022	0.00050	0.06859	0.03997	
0.4950	0.00022	-0.00063	0.06759	0.03997	
0.5000	0.00022	-0.00068	0.06960	0.04000	
0.5050	0.00022	0.00051	0.06932	0.03995	
0.5100	0.00022	-0.00014	0.06750	0.03993	
0.5150	0.00022	-0.00096	0.06889	0.03997	
0.5200	0.00022	0.00015	0.06978	0.03997	
0.5250	0.00022	0.00025	0.06785	0.03994	
0.5300	0.00022	-0.00094	0.06809	0.03996	
0.5350	0.00023	-0.00027	0.06989	0.03996	
0.5400	0.00023	0.00054	0.06857	0.03994	
0.5450	0.00022	-0.00060	0.06758	0.03995	
0.5500	0.00023	-0.00067	0.06958	0.03999	
0.5550	0.00023	0.00052	0.06933	0.03997	
0.5600	0.00022	-0.00011	0.06749	0.03995	
0.5650	0.00022	-0.00096	0.06887	0.03999	
0.5700	0.00023	0.00014	0.06979	0.04002	
0.5750	0.00023	0.00027	0.06787	0.03998	
0.5800	0.00023	-0.00092	0.06809	0.03998	
0.5850	0.00023	-0.00027	0.06990	0.03999	
0.5900	0.00023	0.00056	0.06860	0.03995	
0.5950	0.00023	-0.00058	0.06759	0.03997	
0.6000	0.00023	-0.00071	0.06958	0.04001	
0.6050	0.00023	0.00046	0.06935	0.03994	
0.6100	0.00022	-0.00016	0.06751	0.03990	
0.6150	0.00023	-0.00095	0.06887	0.03997	
0.6200	0.00024	0.00018	0.06982	0.03998	
0.6250	0.00023	0.00032	0.06790	0.03995	
0.6300	0.00023	-0.00091	0.06809	0.04000	
0.6350	0.00023	-0.00032	0.06992	0.04001	
0.6400	0.00022	0.00050	0.06863	0.03997	
0.6450	0.00022	-0.00062	0.06759	0.03997	
0.6500	0.00022	-0.00073	0.06958	0.04001	
0.6550	0.00022	0.00046	0.06936	0.03999	
0.6600	0.00022	-0.00015	0.06751	0.03998	
0.6650	0.00022	-0.00097	0.06885	0.04004	
0.6700	0.00022	0.00013	0.06981	0.04001	
0.6750	0.00022	0.00027	0.06790	0.03995	
0.6800	0.00022	-0.00089	0.06807	0.03999	
0.6850	0.00022	-0.00023	0.06990	0.03996	
0.6900	0.00022	0.00062	0.06862	0.03991	
0.6950	0.00022	-0.00053	0.06757	0.03992	
0.7000	0.00022	-0.00074	0.06955	0.03998	
0.7050	0.00022	0.00041	0.06935	0.03995	
0.7100	0.00022	-0.00019	0.06749	0.03995	
0.7150	0.00022	-0.00095	0.06883	0.03999	
0.7200	0.00022	0.00018	0.06981	0.03999	
0.7250	0.00021	0.00035	0.06790	0.03996	
0.7300	0.00021	-0.00089	0.06806	0.04001	
0.7350	0.00022	-0.00031	0.06989	0.04001	
0.7400	0.00022	0.00053	0.06863	0.03997	
0.7450	0.00022	-0.00059	0.06756	0.03997	
0.7500	0.00022	-0.00071	0.06955	0.04000	
0.7550	0.00022	0.00049	0.06938	0.03995	
0.7600	0.00022	0.000	0.06751	0.03993	
0.7650	0.00022	-0.00093	0.06882	0.04000	
0.7700	0.00022	0.00017	0.06980	0.03998	
0.7750	0.00022	0.00035	0.06790	0.03995	
0.7800	0.00023	-0.00090	0.06803	0.04000	
0.7850	0.00023	-0.00034	0.06989	0.04001	
0.7900	0.00022	0.00050	0.06866	0.03996	
0.7950	0.00022	-0.00059	0.06757	0.03997	
0.8000	0.00022	-0.00071	0.06955	0.03997	
0.8050	0.00023	0.00051	0.06939	0.03995	
0.8100	0.00022	0.000	0.06752	0.03994	
0.8150	0.00022	-0.00093	0.06881	0.04000	
0.8200	0.00023	0.00017	0.06982	0.03998	
0.8250	0.00022	0.00035	0.06791	0.03995	
0.8300	0.00023	-0.00087	0.06803	0.03997	
0.8350	0.00023	-0.00031	0.06989	0.03999	
0.8400	0.00023	0.00054	0.06866	0.03994	
0.8450	0.00023	-0.00056	0.06755	0.03993	
0.8500	0.00023	-0.00072	0.06952	0.03997	
0.8550	0.00023	0.00048	0.06939	0.03994	
0.8600	0.00022	0.000	0.06752	0.03996	
0.8650	0.00022	-0.00093	0.06879	0.03999	
0.8700	0.00022	0.00016	0.06980	0.03998	
0.8750	0.00022	0.00035	0.06791	0.03996	
0.8800	0.00022	-0.00087	0.06799	0.03999	
0.8850	0.00022	-0.00031	0.06986	0.04000	
0.8900	0.00021	0.00056	0.06865	0.03994	
0.8950	0.00021	-0.00054	0.06753	0.03996	
0.9000	0.00022	-0.00074	0.06949	0.04000	
0.9050	0.00023	0.00046	0.06937	0.03997	
0.9100	0.00022	0.000	0.06749	0.03994	
0.9150	0.00022	-0.00095	0.06876	0.04000	
0.9200	0.00023	0.00013	0.06980	0.03997	
0.9250	0.00023	0.00034	0.06793	0.03994	
0.9300	0.00023	-0.00086	0.06800	0.03998	
0.9350	0.00023	-0.00029	0.06987	0.03999	
0.9400	0.00023	0.00059	0.06868	0.03995	
0.9450	0.00023	-0.00052	0.06755	0.03997	
0.9500	0.00023	-0.00076	0.06949	0.04000	
0.9550	0.00023	0.00042	0.06939	0.03995	
0.9600	0.00023	-0.00012	0.06750	0.03992	
0.9650	0.00023	-0.00094	0.06875	0.03999	
0.9700	0.00024	0.00016	0.06981	0.03999	
0.9750	0.00023	0.00039	0.06795	0.03993	
0.9800	0.00023	-0.00087	0.06800	0.03999	
0.9850	0.00023	-0.00037	0.06987	0.04002	
0.9900	0.00023	0.00049	0.06869	0.03997	
0.9950	0.00023	-0.00058	0.06754	0.03999	
1.000	0.00023	-0.00073	0.06949	0.04002	
1.005	0.00023	0.00049	0.06941	0.03996	
1.010	0.00023	0.000	0.06752	0.03993	
1.015	0.00023	-0.00095	0.06875	0.03999	
1.020	0.00023	0.000	0.06983	0.03998	
1.025	0.00022	0.00032	0.06797	0.03995	
1.030	0.00023	-0.00088	0.06800	0.03998	
1.035	0.00023	-0.00032	0.06988	0.04000	
1.040	0.00023	0.00059	0.06872	0.03995	
1.045	0.00023	-0.00052	0.06755	0.03997	
1.050	0.00023	-0.00078	0.06949	0.04002	
1.055	0.00023	0.00040	0.06943	0.04000	
1.060	0.00023	-0.00011	0.06754	0.03997	
1.065	0.00023	-0.00097	0.06874	0.03999	
1.070	0.00023	0.00012	0.06983	0.03996	
1.075	0.00023	0.00036	0.06799	0.03991	
1.080	0.00023	-0.00087	0.06799	0.03995	
1.085	0.00023	-0.00035	0.06987	0.03999	
1.090	0.00023	0.00054	0.06872	0.03997	
1.095	0.00022	-0.00053	0.06753	0.03998	
1.100	0.00022	-0.00077	0.06946	0.03999	
1.105	0.00023	0.00043	0.06943	0.03995	
1.110	0.00022	0.000	0.06754	0.03996	
1.115	0.00022	-0.00098	0.06873	0.04004	
1.120	0.00023	0.000	0.06985	0.04001	
1.125	0.00023	0.00034	0.06800	0.03996	
1.130	0.00022	-0.00087	0.06798	0.03998	
1.135	0.00022	-0.00035	0.06988	0.03998	
1.140	0.00023	0.00055	0.06876	0.03993	
1.145	0.00022	-0.00053	0.06754	0.03992	
1.150	0.00023	-0.00077	0.06948	0.03996	
1.155	0.00022	0.00043	0.06946	0.03995	
1.160	0.00022	0.000	0.06755	0.03995	
1.165	0.00023	-0.00098	0.06873	0.04000	
1.170	0.00023	0.000	0.06985	0.03999	
1.175	0.00022	0.00034	0.06800	0.03994	
1.180	0.00022	-0.00086	0.06796	0.04000	
1.185	0.00022	-0.00033	0.06987	0.04002	
1.190	0.00022	0.00060	0.06876	0.03997	
1.195	0.00022	-0.00049	0.06754	0.04001	
1.200	0.00022	-0.00080	0.06947	0.04005	
1.205	0.00023	0.00039	0.06946	0.03999	
1.210	0.00023	-0.00010	0.06755	0.03993	
1.215	0.00022	-0.00097	0.06872	0.03999	
1.220	0.00022	0.00011	0.06986	0.04001	
1.225	0.00023	0.00039	0.06802	0.03997	
1.230	0.00023	-0.00086	0.06796	0.04001	
1.235	0.00023	-0.00041	0.06987	0.04003	
1.240	0.00022	0.00050	0.06877	0.03996	
1.245	0.00022	-0.00053	0.06753	0.03995	
1.250	0.00023	-0.00075	0.06946	0.04000	
1.255	0.00023	0.00048	0.06947	0.03997	
1.260	0.00022	0.000	0.06755	0.03995	
1.265	0.00022	-0.00098	0.06870	0.04001	
1.270	0.00022	0.000	0.06985	0.04000	
1.275	0.00022	0.00031	0.06802	0.03996	
1.280	0.00022	-0.00088	0.06795	0.04001	
1.285	0.00023	-0.00036	0.06986	0.04003	
1.290	0.00023	0.00059	0.06878	0.03998	
1.295	0.00022	-0.00047	0.06752	0.03999	
1.300	0.00023	-0.00079	0.06944	0.04002	
1.305	0.00023	0.00041	0.06947	0.03998	
1.310	0.00023	0.000	0.06754	0.03994	
1.315	0.00023	-0.00097	0.06867	0.03999	
1.320	0.00023	0.000	0.06985	0.03998	
1.325	0.00022	0.00038	0.06804	0.03994	
1.330	0.00022	-0.00083	0.06794	0.03997	
1.335	0.00023	-0.00036	0.06986	0.03997	
1.340	0.00022	0.00057	0.06881	0.03993	
1.345	0.00022	-0.00048	0.06754	0.03996	
1.350	0.00023	-0.00083	0.06944	0.04002	
1.355	0.00023	0.00035	0.06949	0.03997	
1.360	0.00022	-0.00010	0.06756	0.03995	
1.365	0.00022	-0.00101	0.06867	0.04000	
1.370	0.00023	0.000	0.06987	0.03999	
1.375	0.00022	0.00034	0.06807	0.03995	
1.380	0.00022	-0.00087	0.06794	0.03998	
1.385	0.00022	-0.00043	0.06987	0.04002	
1.390	0.00022	0.00051	0.06882	0.03998	
1.395	0.00022	-0.00052	0.06754	0.03999	
1.400	0.00023	-0.00082	0.06943	0.04004	
1.405	0.00022	0.00037	0.06950	0.03996	
1.410	0.00022	0.000	0.06757	0.03995	
1.415	0.00023	-0.00098	0.06866	0.04000	
1.420	0.00022	0.000	0.06987	0.04000	
1.425	0.00022	0.00039	0.06808	0.03996	
1.430	0.00022	-0.00084	0.06793	0.03998	
1.435	0.00022	-0.00038	0.06988	0.04000	
1.440	0.00023	0.00059	0.06884	0.03996	
1.445	0.00022	-0.00046	0.06753	0.03994	
1.450	0.00022	-0.00079	0.06943	0.04000	
1.455	0.00022	0.00042	0.06953	0.03996	
1.460	0.00022	0.000	0.06758	0.03994	
1.465	0.00022	-0.00096	0.06867	0.04001	
1.470	0.00022	0.000	0.06989	0.04000	
1.475	0.00022	0.00039	0.06809	0.03996	
1.480	0.00022	-0.00084	0.06793	0.03998	
1.485	0.00022	-0.00041	0.06988	0.04001	
1.490	0.00022	0.00056	0.06886	0.03995	
1.495	0.00022	-0.00046	0.06752	0.03995	
1.500	0.00022	-0.00077	0.06943	0.03998	
1.505	0.00022	0.00048	0.06954	0.03997	
1.510	0.00021	0.000	0.06758	0.03994	
1.515	0.00022	-0.00094	0.06865	0.04001	
1.520	0.00022	0.000	0.06989	0.03998	
1.525	0.00022	0.00041	0.06810	0.03995	
1.530	0.00022	-0.00083	0.06792	0.03997	
1.535	0.00023	-0.00039	0.06987	0.03999	
1.540	0.00022	0.00060	0.06886	0.03996	
1.545	0.00022	-0.00043	0.06753	0.03997	
1.550	0.00022	-0.00082	0.06942	0.04002	
1.555	0.00022	0.00039	0.06954	0.04000	
1.560	0.00022	0.000	0.06758	0.03996	
1.565	0.00023	-0.00096	0.06864	0.04002	
1.570	0.00023	0.000	0.06990	0.04003	
1.575	0.00022	0.00047	0.06810	0.03997	
1.580	0.00023	-0.00081	0.06790	0.03997	
1.585	0.00023	-0.00043	0.06987	0.03998	
1.590	0.00023	0.00055	0.06888	0.03996	
1.595	0.00023	-0.00045	0.06753	0.03994	
1.600	0.00022	-0.00077	0.06941	0.04001	
1.605	0.00023	0.00048	0.06955	0.04000	
1.610	0.00023	0.000	0.06758	0.03995	
1.615	0.00023	-0.00094	0.06860	0.03998	
1.620	0.00022	0.000	0.06989	0.03999	
1.625	0.00022	0.00041	0.06812	0.03996	
