t x y xy
0.00000 2.71615 0.00000 0.00000
0.00500 2.70050 0.19891 0.53716
0.01000 2.65433 0.39135 1.03877
0.01500 2.57988 0.57124 1.47373
0.02000 2.48071 0.73320 1.81886
0.02500 2.36150 0.87292 2.06140
0.03000 2.22773 0.98732 2.19948
0.03500 2.08533 1.07473 2.24117
0.04000 1.94033 1.13494 2.20216
0.04500 1.79849 1.16914 2.10269
0.05000 1.66498 1.17981 1.96436
0.05500 1.54405 1.17047 1.80726
0.06000 1.43887 1.14540 1.64808
0.06500 1.35140 1.10936 1.49919
0.07000 1.28229 1.06722 1.36849
0.07500 1.23101 1.02365 1.26012
0.08000 1.19591 0.98283 1.17538
0.08500 1.17447 0.94816 1.11359
0.09000 1.16353 0.92218 1.07298
0.09500 1.15958 0.90635 1.05099
0.10000 1.15903 0.90114 1.04445
0.10500 1.15852 0.90603 1.04965
0.11000 1.15513 0.91964 1.06230
0.11500 1.14661 0.93997 1.07778
0.12000 1.13145 0.96455 1.09134
0.12500 1.10898 0.99075 1.09872
0.13000 1.07936 1.01599 1.09662
0.13500 1.04347 1.03794 1.08306
0.14000 1.00277 1.05478 1.05770
0.14500 0.95918 1.06524 1.02176
0.15000 0.91480 1.06875 0.97769
0.15500 0.87176 1.06539 0.92876
0.16000 0.83200 1.05588 0.87849
0.16500 0.79711 1.04147 0.83017
0.17000 0.76819 1.02381 0.78648
0.17500 0.74576 1.00474 0.74929
0.18000 0.72980 0.98615 0.71969
0.18500 0.71969 0.96979 0.69795
0.19000 0.71435 0.95710 0.68370
0.19500 0.71237 0.94914 0.67614
0.20000 0.71208 0.94645 0.67395
0.20500 0.71181 0.94907 0.67556
0.21000 0.70996 0.95651 0.67908
0.21500 0.70518 0.96788 0.68253
0.22000 0.69651 0.98193 0.68392
0.22500 0.68340 0.99722 0.68150
0.23000 0.66577 1.01223 0.67391
0.23500 0.64401 1.02553 0.66045
0.24000 0.61891 1.03591 0.64114
0.24500 0.59157 1.04247 0.61669
0.25000 0.56329 1.04469 0.58846
0.25500 0.53546 1.04251 0.55822
0.26000 0.50937 1.03627 0.52784
0.26500 0.48616 1.02668 0.49913
0.27000 0.46666 1.01477 0.47355
0.27500 0.45135 1.00175 0.45214
0.28000 0.44032 0.98890 0.43543
